Class,Description
Airport,"Manmade facility maintained for the use of aircraft."
Arch,"Natural arch-like opening in a rock mass."
Area,"Any one of several areally extensive natural features not included in other categories."
Arroyo,"Watercourse or channel through which water may occasionally flow."
Bar,"Natural accumulation of sand, gravel, or alluvium forming an underwater or exposed embankment."
Basin,"Natural depression or relatively low area enclosed by higher land."
Bay,"Indentation of a coastline orshoreline enclosing a part of a body of water; a body of water partly surrounded by land."
Beach,"The sloping shore along a body of water that is washed by waves or tides and is usually covered by sand or gravel."
Bench,"Area of relatively level land on the flank of an elevation such as a hill, ridge, or mountain where the slope of the land rises on one side and descends on the opposite side."
Bend,"Curve in the course of a stream and (or) the land within the curve; a curve in a linear body of water."
Bridge,"Manmade structure carrying a trail, road, or other transportation system across a body of water or depression."
Building,"A manmade structure with walls and a roof for protection of people and (or) materials, but not including church, hospital, or school."
Canal,"Manmade waterway used by watercraft or for drainage, irrigation, mining, or water power."
Cape,"Projection of land extending into a body of water."
Cave,"Natural underground passageway or chamber, or a hollowed out cavity in the side of a cliff."
Cemetery,"A place or area for burying the dead."
Census,"A statistical area delineated locally specifically for the tabulation of Census Bureau data. Distinct from Civil and Populated Place."
Channel,"Linear deep part of a body of water through which the main volume of water flows and is frequently used as aroute for watercraft."
Church,"Building used for religious worship."
Civil,"A political division formed for administrative purposes. Distinct from Census and Populated Place."
Cliff,"Very steep or vertical slope."
Crater,"Circular-shaped depression at the summit of a volcanic cone or one on the surface of the land caused by the impact of a meteorite; a manmade depression caused by an explosion."
Crossing,"A place where two or more routes of transportation form a junction or intersection."
Dam,"Water barrier or embankment built across the course of a stream or into a body of water to control and (or) impound the flow of water."
Falls,"Perpendicular or very steep fall of water in the course of a stream."
Flat,"Relative level area within a region of greater relief."
Forest,"Bounded area of woods, forest, or grassland under the administration of a political agency (see 'woods')."
Gap,"Low point or opening between hills or mountains or in a ridge or mountain range."
Glacier,"Body or stream of ice moving outward and downslope from an area of accumulation; an area of relatively permanent snow or ice on the top or side of a mountain or mountainous area."
Gut,"Relatively small coastal waterway connecting larger bodies of water or other waterways."
Harbor,"Sheltered area of water where ships or other watercraft can anchor or dock."
Hospital,"Building where the sick or injured may receive medical or surgical attention."
Island,"Area of dry or relatively dry land surrounded by water or low wetland."
Isthmus,"Narrow section of land in a body of water connecting two larger land areas."
Lake,"Natural body of inland water."
Lava,"Formations resulting from the consolidation of molten rock on the surface of the Earth."
Levee,"Natural or manmade embankment flanking a stream."
Locale,"Place at which there is or was human activity; it does not include populated places, mines, and dams."
Military,"Place or facility used for various aspects of or relating to military activity."
Mine,"Place or area from which commercial minerals are or were removed from the Earth; not including oilfield."
Oilfield,"Area where petroleum is or was removed from the Earth."
Park,"Place or area set aside for recreation or preservation of a cultural or natural resource and under some form of government administration; not including National or State forests or Reserves."
Pillar,"Vertical, standing, often spire-shaped, natural rock formation."
Plain,"A region of general uniform slope, comparatively level and of considerable extent."
PopulatedPlace,"Place or area with clustered or scattered buildings and a permanent human population. A populated place is usually not incorporated and by definition has no legal boundaries. However, a populated place may have a corresponding 'civil' record, the legal boundaries of which may or may not coincide with the perceived populated place. Distinct from Census and Civil classes."
PostOffice,"An official facility of the U.S. Postal Service used for processing and distributing mail and other postal material."
Range,"Chain of hills or mountains; a somewhat linear, complex mountainous or hilly area."
Rapids,"Fast-flowing section of a stream, often shallow and with exposed rock or boulders."
Reserve,"A tract of land set aside for a specific use (does not include forests, civil divisions, parks)."
Reservoir,"Artificially impounded body of water."
Ridge,"Elevation with a narrow, elongated crest which can be part of a hill or mountain."
School,"Building or group of buildings used as an institution for study, teaching, and learning."
Sea,"Large body of salt water."
Slope,"A gently inclined part of the Earth's surface."
Spring,"Place where underground water flows naturally to the surface of the Earth."
Stream,"Linear body of water flowing on the Earth's surface."
Summit,"Prominent elevation rising above the surrounding level of the Earth's surface; does not include pillars, ridges, or ranges."
Swamp,"Poorly drained wetland, fresh or saltwater, wooded or grassy, possibly covered with open water."
Tower,"A manmade structure, higher than its diameter, generally used for observation, storage, or electronic transmission."
Trail,"Route for passage from one point to another; does not include roads or highways."
Tunnel,"Linear underground passageway open at both ends."
Unknown,"This class is assigned to legacy data only. It will not be assigned to new or edited records."
Valley,"Linear depression in the Earth's surface that generally slopes from one end to the other."
Well,"Manmade shaft or hole in the Earth's surface used to obtain fluid or gaseous materials."
Woods,"Small area covered with a dense growth of trees; does not include an area of trees under the administration of a political agency (see 'forest')."
